"Balance by Period"
"Date","Credit Turnover","Debit Turnover","Balance"
"01 JAN 2019","977.31","-977.31","0.00"
"31 JAN 2019","1,268.15","-1,268.15","0.00"
"28 FEB 2019","1,280.69","-1,280.69","0.00"
"31 MAR 2019","1,280.69","-1,280.69","0.00"
"30 APR 2019","1,280.69","-1,280.69","0.00"
"31 MAY 2019","1,280.69","-1,280.69","0.00"
"30 JUN 2019","3,609.85","-3,609.85","0.00"
"31 JUL 2019","1,280.69","-1,280.69","0.00"
"31 AUG 2019","1,280.69","-1,280.69","0.00"
"30 SEP 2019","1,280.69","-1,280.69","0.00"
"31 OCT 2019","1,280.69","-1,280.69","0.00"
"30 NOV 2019","1,280.69","-1,280.69","0.00"
"31 DEC 2019","1,280.69","-1,280.69","0.00"
"31 JAN 2020","1,280.69","-1,280.69","0.00"
"29 FEB 2020","1,170.55","-1,170.55","0.00"
"31 MAR 2020","2,341.10","-2,341.10","0.00"
"30 JUN 2020","6,574.56","-6,574.56","0.00"
"31 JUL 2020","3,511.65","-3,511.65","0.00"
"31 AUG 2020","3,511.65","-3,511.65","0.00"
"30 SEP 2020","2,341.10","-2,341.10","0.00"
"31 OCT 2020","2,341.10","-2,341.10","0.00"
"30 NOV 2020","2,341.10","-2,341.10","0.00"
"31 DEC 2020","2,341.10","-2,341.10","0.00"
"31 JAN 2021","2,421.18","-2,421.18","0.00"
"28 FEB 2021","2,695.94","-2,695.94","0.00"
"26 MAR 2021","150.00","-150.00","0.00"
"31 MAR 2021","305.08","-230.08","75.00"
"30 APR 2021","3,923.79","-2,615.86","1,382.93"
"03 MAY 2021","52,890.62","-52,890.62","1,382.93"
"31 MAY 2021","3,923.79","-2,615.86","2,690.86"
"30 JUN 2021","8,200.55","-9,031.00","1,860.41"
"31 JUL 2021","3,923.79","-2,615.86","3,168.34"
"31 AUG 2021","3,923.79","-2,615.86","4,476.27"
"30 SEP 2021","3,923.79","-2,615.86","5,784.20"
"31 OCT 2021","3,923.79","-2,615.86","7,092.13"
"30 NOV 2021","3,923.79","-2,615.86","8,400.06"
"31 DEC 2021","3,923.79","-2,615.86","9,707.99"
"31 JAN 2022","3,923.79","-2,615.86","11,015.92"
"28 FEB 2022","3,240.21","-2,160.14","12,095.99"
"31 MAR 2022","3,240.21","-2,160.14","13,176.06"
"20 APR 2022","8,566.98","-12,850.47","8,892.57"
"30 APR 2022","3,240.21","-2,160.14","9,972.64"
